Exercise_ID,Exercise_Name,Affected_Muscle,Gender,Goal,Exercise_area,Description,Link,Level,Sets,Reps,Rep_time,Rest_time,exercise_type
1,seated over triceps,forearm; tricep,male; female,Muscle gain,Gym; Home,"Sit up straight. Hold a dumbbell in both hands and raise it over your head with both hands. Exhale, slowly lower the dumbbells as deeply as possible. So that both arms are bent, pressing the biceps close. Inhale, slowly lift the weight up slowly. Return to original position.",https://www.youtube.com/watch?v=YUmEMt0vHlQ,Easy,3,12,3,60,Main
2,tricep dumbbell kick back,forearm; tricep,male,Muscle gain,Gym,"Hold a dumbbell in your left hand and kneel on the chair with your right leg. Right hand rests on the chair to create support. Hold the dumbbell in your left hand so that your biceps are pressed close to your body, your forearms are perpendicular to your body. Eyes look straight ahead.
Exhale, lift the weight, swing the weight back so that your arms are parallel to your body. The biceps remain stable and do not lock the elbow joint.
Inhale and hold your hands still for 1 beat. Return the dumbbells and arms to the starting position.
",https://www.youtube.com/watch?v=m_UlDFNX4mk,Easy,3,12,3,60,Main
3,double pull up,forearm; bicep; upper back,male,Muscle gain,Gym,"Stand straight, holding 2 horizontal bars with both hands. The legs are slightly closed in a V shape. Bend your thighs until your knees bend about 90 degrees. Tighten your  chest and shoulder muscles, use force from your arms to swing your body up so that your arms are almost completely straight
Slowly lower your body until your elbows bend at an angle of about 90 degrees, then stop.",https://www.youtube.com/watch?v=w9Mu-azxol8,Difficulty,2,8,3,60,Main
4,bench dip,tricep,male; female,Muscle gain,Gym; Home,"Put your hands on the back of the chair, with your hands shoulder-width apart. Exhale, lower your body but don't let your butt touch the ground. Keep your forearms steady, your biceps will now be parallel to the floor then stop. Inhale, push yourself up slowly.",https://www.youtube.com/watch?v=yvAzWxRsnqU,Easy,3,12,3,60,Main
5,dumbbell floor press,middle chest; tricep,male,Muscle gain,Home,"You lie on the exercise chair. Both feet are placed on the floor. Grab the barbell with both hands, the distance between your hands is slightly wider than your shoulders. Place dumbbells on your  chest. Exhale, tighten your  chest muscles, push the dumbbells up so that your arms are straight but don't lock your elbow joints. Inhale, slowly lower the barbell, expand your biceps until the barbell is close to your  chest, then stop.",https://www.youtube.com/watch?v=lNdi7VEf2Ew,Easy,3,12,3,60,Main
6,bench press,middle  chest; tricep,male,Muscle gain,Gym,"Lie on the exercise bench, both feet on the floor, both hands holding the bar placed on the weapon. Exhale, exhale, push the weight up until your arms are straight. Get in, lower the dumbbells to near the deadlift, then stop, hold the position for about 1 - 2 seconds and repeat the activity.",https://www.youtube.com/watch?v=i2KLG62CaGI,Medium,3,12,3,60,Main
7,skull crusher,tricep,male,Muscle gain,Gym,"You lie on the exercise bench. Place both feet on the floor. Each hand holds a dumbbell. Raise both arms straight up high, arms parallel to each other and perpendicular to the body. Fold your arms behind your head, exhale, move only your arms and keep your biceps steady. When the weight passes behind your head, inhale and push the weight up to the starting position.",https://www.youtube.com/watch?v=jO2Jl9eZpXk,Medium,3,12,3,60,Main
8,triceps machine dip,tricep,male,Muscle gain,Gym,"Sit on the exercise machine, hold the handles on both sides, place your feet on the floor, and lean forward slightly. Use force from your biceps to push the handle down until your arms are straight. Stop for about 1 second at the lowest hand position, then slowly return the handle to the original position. Continue repeating the movement.",https://www.youtube.com/watch?v=OChuGyCSC7U,Medium,3,12,3,60,Main
9,low cable overhead triceps extension,tricep,male,Muscle gain,Gym,"Fasten a rope handle in the lower position of a cable pulley. Stand with your back against the pulley, with a slight forward lean, and hold the rope behind your head and your upper arms next to your ears.
Straighten your elbows until your arms are fully extended.
Reverse the motion by bending your arms again.",https://www.youtube.com/watch?v=1u18yJELsh0,Medium,3,12,3,60,Main
10,close-grip bench press,"middle  chest;
tricep",male,Muscle gain,Gym,"Inhale as you lift the weight and keep it straight above your  chest. Make sure your elbows are close to your body to focus the push on your triceps. Slowly lower the weight until it almost touches the center of your  chest, but don't let it reach your  chest. This is the lowest position of the movement. Stop for 1 second at the lowest position to give your  chest muscles time to develop and bear the load.",https://www.youtube.com/watch?v=XEFDMwmrLAM,Difficulty,3,12,3,60,Main
